"id","scheme","scheme_type","value","year","estimate_type"
2407,"Education Empowerment","Major Central Sector Schemes",1986.0,"2018-2019","Actual"
2408,"Skill Development and Livelihoods","Major Central Sector Schemes",482.0,"2018-2019","Actual"
2409,"Wind Power","Major Central Sector Schemes",950.0,"2018-2019","Actual"
2410,"Solar Power","Major Central Sector Schemes",1904.0,"2018-2019","Actual"
2411,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes","","2018-2019","Actual"
2412,"Phulpur Dhamra Haldia Pipeline Project","Major Central Sector Schemes",1207.0,"2018-2019","Actual"
2413,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes",608.0,"2018-2019","Actual"
2414,"LPG Connection to Poor Households (Saubhagya)","Major Central Sector Schemes",3200.0,"2018-2019","Actual"
2415,"Deen Dayal Upadhyaya Gram Jyoti Yojna","Major Central Sector Schemes",3800.0,"2018-2019","Actual"
2416,"Integrated Power Development Scheme","Major Central Sector Schemes",3897.0,"2018-2019","Actual"
2417,"Strengthening of Power Systems","Major Central Sector Schemes",2802.0,"2018-2019","Actual"
2418,"Power System Development Fund","Major Central Sector Schemes",544.0,"2018-2019","Actual"
2419,"Bridge Works","Major Central Sector Schemes",532.0,"2018-2019","Actual"
2420,"Metropolitan Transportation Projects","Major Central Sector Schemes",1164.0,"2018-2019","Actual"
2421,"Road Works","Major Central Sector Schemes",37811.0,"2018-2019","Actual"
2422,"National Highways Authority of India","Major Central Sector Schemes",39287.0,"2018-2019","Actual"
2423,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",989.0,"2018-2019","Actual"
2424,"Research and Development","Major Central Sector Schemes",472.0,"2018-2019","Actual"
2425,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",773.0,"2018-2019","Actual"
2426,"Biotechnology Research and Development","Major Central Sector Schemes",1329.0,"2018-2019","Actual"
2427,"Space Technology","Major Central Sector Schemes",6383.0,"2018-2019","Actual"
2428,"Space Applications","Major Central Sector Schemes",1811.0,"2018-2019","Actual"
2429,"INSAT Satellite Systems","Major Central Sector Schemes",1593.0,"2018-2019","Actual"
2430,"Capacity Development (CD)","Major Central Sector Schemes",216.0,"2018-2019","Actual"
2431,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3950.0,"2018-2019","Actual"
2432,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",616.0,"2018-2019","Actual"
2433,"Central Silk Board","Major Central Sector Schemes",601.0,"2018-2019","Actual"
2434,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",1101.0,"2018-2019","Actual"
2435,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes","","2018-2019","Actual"
2436,"Khelo India","Major Central Sector Schemes",342.0,"2018-2019","Actual"
2437,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",875.0,"2018-2019","Actual"
2438,"Border Infrastructure and Management","Major Central Sector Schemes",2030.0,"2018-2019","Actual"
2439,"Police Infrastructure","Major Central Sector Schemes",5085.0,"2018-2019","Actual"
2440,"Credit Linked Capital Subsidy and Technology Upgradation Scheme","Major Central Sector Schemes",1007.0,"2018-2019","Actual"
2441,"Budgetary Support to Schemes of Ministry of Railways","Major Central Sector Schemes",54913.0,"2018-2019","Actual"
2442,"Sagarmala","Major Central Sector Schemes",360.0,"2018-2019","Actual"
2443,"Centenaries and Anniversaries, Celebrations and Schemes","Major Central Sector Schemes",156.0,"2018-2019","Actual"
2444,"Support to Infrastructure Pipeline","Major Central Sector Schemes","","2018-2019","Actual"
2445,"Pradhan Mantri Mudra Yojana","Major Central Sector Schemes",500.0,"2018-2019","Actual"
2446,"Stimulus Package for Export Credit- NIRVIK Yojna","Major Central Sector Schemes","","2018-2019","Actual"
2447,"National Social Assistance Program","Core of the Core Schemes",9200.0,"2019-2020","Budget"
2448,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",60000.0,"2019-2020","Budget"
2449,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5445.0,"2019-2020","Budget"
2450,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",3810.0,"2019-2020","Budget"
2451,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",1590.0,"2019-2020","Budget"
2452,"Umbrella Programme for Development of Other Vulnerable Groups 1564","Core of the Core Schemes",1818.0,"2019-2020","Budget"
2453,"Green Revolution","Core Schemes",12561.0,"2019-2020","Budget"
2454,"White Revolution","Core Schemes",2240.0,"2019-2020","Budget"
2455,"Blue Revolution","Core Schemes",560.0,"2019-2020","Budget"
2456,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",9682.0,"2019-2020","Budget"
2457,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",19000.0,"2019-2020","Budget"
2458,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",25853.0,"2019-2020","Budget"
2459,"Jal Jeevan Mission (JJM)","Core Schemes",10001.0,"2019-2020","Budget"
2460,"Swachh Bharat Mission (Urban)","Core Schemes",2650.0,"2019-2020","Budget"
2461,"Swachh Bharat Mission (Gramin)","Core Schemes",9994.0,"2019-2020","Budget"
2462,"National Health Mission","Core Schemes",33651.0,"2019-2020","Budget"
2463,"National Education Mission","Core Schemes",38547.0,"2019-2020","Budget"
2464,"National Programme of Mid Day Meal in Schools","Core Schemes",11000.0,"2019-2020","Budget"
2465,"Umbrella ICDS","Core Schemes",27584.0,"2019-2020","Budget"
2466,"Mission for Protection and Empowerment for Women","Core Schemes",1330.0,"2019-2020","Budget"
2467,"National Livelihood Mission - Ajeevika","Core Schemes",9774.0,"2019-2020","Budget"
2468,"Jobs and Skill Development","Core Schemes",7260.0,"2019-2020","Budget"
2469,"Environment, Forestry and Wildlife","Core Schemes",886.0,"2019-2020","Budget"
2470,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",13750.0,"2019-2020","Budget"
2471,"Modernisation of Police Forces","Core Schemes",3462.0,"2019-2020","Budget"
2472,"Infrastructure Facilities for Judiciary","Core Schemes",720.0,"2019-2020","Budget"
2473,"Border Area Development Programme 771","Core Schemes",825.0,"2019-2020","Budget"
2474,"Shyama Prasad Mukherjee Rurban Mission","Core Schemes",800.0,"2019-2020","Budget"
2475,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",822.0,"2019-2020","Budget"
2476,"PMJAY-Ayushman Bharat","Core Schemes",6556.0,"2019-2020","Budget"
2477,"Market Intervention Scheme and Price Support Scheme (MIS-PSS)","Major Central Sector Schemes",3000.0,"2019-2020","Budget"
2478,"Crop Insurance Scheme","Major Central Sector Schemes",14000.0,"2019-2020","Budget"
2479,"Interest Subsidy for Short Term Credit to Farmers","Major Central Sector Schemes",18000.0,"2019-2020","Budget"
2480,"Promotion of Agricultural Mechanization for in-situ Management of Crop Residue","Major Central Sector Schemes",600.0,"2019-2020","Budget"
2481,"Distribution of Pulses to State / Union Territories for Welfare Scheme","Major Central Sector Schemes",800.0,"2019-2020","Budget"
2482,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",75000.0,"2019-2020","Budget"
2483,"Crop Science","Major Central Sector Schemes",702.0,"2019-2020","Budget"
2484,"R and D Basic Science and Engineering","Major Central Sector Schemes",1320.0,"2019-2020","Budget"
2485,"Air India Asset Holding Limited (SPV)","Major Central Sector Schemes",2600.0,"2019-2020","Budget"
2486,"Exploration of Coal and Lignite","Major Central Sector Schemes",937.0,"2019-2020","Budget"
2487,"Investment in ECGC (Export Credit Guarantee Corporation)","Major Central Sector Schemes",500.0,"2019-2020","Budget"
2488,"Interest Equalisation Scheme","Major Central Sector Schemes",2910.0,"2019-2020","Budget"
2489,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",850.0,"2019-2020","Budget"
2490,"Fund of Funds","Major Central Sector Schemes",100.0,"2019-2020","Budget"
2491,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",1700.0,"2019-2020","Budget"
2492,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",4725.0,"2019-2020","Budget"
2493,"Compensation to Service Providers for creation and augmentation of telecom infrastructure (Bharat Net)","Major Central Sector Schemes",8350.0,"2019-2020","Budget"
2494,"Price Stabilisation Fund","Major Central Sector Schemes",2000.0,"2019-2020","Budget"
2495,"Schemes of North East Council","Major Central Sector Schemes",580.0,"2019-2020","Budget"
2496,"Central Pool of Resources for North East and Sikkim","Major Central Sector Schemes",531.0,"2019-2020","Budget"
2497,"North East Road Sector Development Scheme","Major Central Sector Schemes",666.0,"2019-2020","Budget"
2498,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",695.0,"2019-2020","Budget"
2499,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)","Major Central Sector Schemes",483.0,"2019-2020","Budget"
2500,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",986.0,"2019-2020","Budget"
2501,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",416.0,"2019-2020","Budget"
2502,"Exim Bank","Major Central Sector Schemes",779.0,"2019-2020","Budget"
2503,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",1000.0,"2019-2020","Budget"
2504,"Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Major Central Sector Schemes",1500.0,"2019-2020","Budget"
2505,"Re-capitalization of Insurance Companies","Major Central Sector Schemes",0.0,"2019-2020","Budget"
2506,"Subscription to the Share Capital of Export-Import Bank of India","Major Central Sector Schemes",950.0,"2019-2020","Budget"
2507,"National Animal Disease Control Programme for Foot and Mouth Disease (FMD) and Brucellosis","Major Central Sector Schemes",500.0,"2019-2020","Budget"
2508,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",1101.0,"2019-2020","Budget"
2509,"National AIDS and STD Control Programme","Major Central Sector Schemes",2500.0,"2019-2020","Budget"
2510,"Family Welfare Schemes","Major Central Sector Schemes",700.0,"2019-2020","Budget"
2511,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",4000.0,"2019-2020","Budget"
2512,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",500.0,"2019-2020","Budget"
2513,"Schemes for Safety of Women","Major Central Sector Schemes",50.0,"2019-2020","Budget"
2514,"Metro Projects","Major Central Sector Schemes",17714.0,"2019-2020","Budget"
2515,"National Capital Region Transport Corporation","Major Central Sector Schemes",974.0,"2019-2020","Budget"
2516,"Higher Education Financing Agency (HEFA)","Major Central Sector Schemes",2100.0,"2019-2020","Budget"
2517,"Interest Subsidy and contribution for Guarantee Funds","Major Central Sector Schemes",1900.0,"2019-2020","Budget"
2518,"National Ganga Plan and Ghat Works","Major Central Sector Schemes",750.0,"2019-2020","Budget"
2519,"National River Conservation Plan","Major Central Sector Schemes",1220.0,"2019-2020","Budget"
2520,"Employees Pension Scheme, 1995","Major Central Sector Schemes",4500.0,"2019-2020","Budget"
2521,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2327.0,"2019-2020","Budget"
2522,"Infrastructure Development and Capacity Building","Major Central Sector Schemes",420.0,"2019-2020","Budget"
2523,"Education Empowerment","Major Central Sector Schemes",2363.0,"2019-2020","Budget"
2524,"Skill Development and Livelihoods","Major Central Sector Schemes",557.0,"2019-2020","Budget"
2525,"Wind Power","Major Central Sector Schemes",920.0,"2019-2020","Budget"
2526,"Solar Power","Major Central Sector Schemes",2480.0,"2019-2020","Budget"
2527,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes","","2019-2020","Budget"
2528,"Phulpur Dhamra Haldia Pipeline Project","Major Central Sector Schemes",1552.0,"2019-2020","Budget"
2529,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes",1.0,"2019-2020","Budget"
2530,"LPG Connection to Poor Households (Saubhagya)","Major Central Sector Schemes",2724.0,"2019-2020","Budget"
2531,"Deen Dayal Upadhyaya Gram Jyoti Yojna","Major Central Sector Schemes",4066.0,"2019-2020","Budget"
2532,"Integrated Power Development Scheme","Major Central Sector Schemes",5280.0,"2019-2020","Budget"
2533,"Strengthening of Power Systems","Major Central Sector Schemes",1478.0,"2019-2020","Budget"
2534,"Power System Development Fund","Major Central Sector Schemes",1035.0,"2019-2020","Budget"
2535,"Bridge Works","Major Central Sector Schemes",745.0,"2019-2020","Budget"
2536,"Metropolitan Transportation Projects","Major Central Sector Schemes",1600.0,"2019-2020","Budget"
2537,"Road Works","Major Central Sector Schemes",45880.0,"2019-2020","Budget"
2538,"National Highways Authority of India","Major Central Sector Schemes",36691.0,"2019-2020","Budget"
2539,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",1085.0,"2019-2020","Budget"
2540,"Research and Development","Major Central Sector Schemes",611.0,"2019-2020","Budget"
2541,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",872.0,"2019-2020","Budget"
2542,"Biotechnology Research and Development","Major Central Sector Schemes",1475.0,"2019-2020","Budget"
2543,"Space Technology","Major Central Sector Schemes",8408.0,"2019-2020","Budget"
2544,"Space Applications","Major Central Sector Schemes",1885.0,"2019-2020","Budget"
2545,"INSAT Satellite Systems","Major Central Sector Schemes",884.0,"2019-2020","Budget"
2546,"Capacity Development (CD)","Major Central Sector Schemes",529.0,"2019-2020","Budget"
2547,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3960.0,"2019-2020","Budget"
2548,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",700.0,"2019-2020","Budget"
2549,"Central Silk Board","Major Central Sector Schemes",730.0,"2019-2020","Budget"
2550,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",1106.0,"2019-2020","Budget"
2551,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",0.0,"2019-2020","Budget"
2552,"Khelo India","Major Central Sector Schemes",500.0,"2019-2020","Budget"
2553,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",953.0,"2019-2020","Budget"
2554,"Border Infrastructure and Management","Major Central Sector Schemes",2129.0,"2019-2020","Budget"
2555,"Police Infrastructure","Major Central Sector Schemes",4757.0,"2019-2020","Budget"
2556,"Credit Linked Capital Subsidy and Technology Upgradation Scheme","Major Central Sector Schemes",706.0,"2019-2020","Budget"
2557,"Budgetary Support to Schemes of Ministry of Railways","Major Central Sector Schemes",68019.0,"2019-2020","Budget"
2558,"Sagarmala","Major Central Sector Schemes",550.0,"2019-2020","Budget"
2559,"Centenaries and Anniversaries, Celebrations and Schemes","Major Central Sector Schemes",110.0,"2019-2020","Budget"
2560,"Support to Infrastructure Pipeline","Major Central Sector Schemes","","2019-2020","Budget"
2561,"Pradhan Mantri Mudra Yojana","Major Central Sector Schemes",500.0,"2019-2020","Budget"
2562,"Stimulus Package for Export Credit- NIRVIK Yojna","Major Central Sector Schemes","","2019-2020","Budget"
2563,"National Social Assistance Program","Core of the Core Schemes",9200.0,"2019-2020","Revised"
2564,"Mahatma Gandhi National Rural Employment Guarantee Program","Core of the Core Schemes",71002.0,"2019-2020","Revised"
2565,"Umbrella Scheme for Development of Scheduled Castes","Core of the Core Schemes",5568.0,"2019-2020","Revised"
2566,"Umbrella Programme for Development of Scheduled Tribes","Core of the Core Schemes",4194.0,"2019-2020","Revised"
2567,"Umbrella Programme for Development of Minorities","Core of the Core Schemes",1709.0,"2019-2020","Revised"
2568,"Umbrella Programme for Development of Other Vulnerable Groups 1564","Core of the Core Schemes",1846.0,"2019-2020","Revised"
2569,"Green Revolution","Core Schemes",9965.0,"2019-2020","Revised"
2570,"White Revolution","Core Schemes",1799.0,"2019-2020","Revised"
2571,"Blue Revolution","Core Schemes",455.0,"2019-2020","Revised"
2572,"Pradhan Mantri Krishi Sinchai Yojna","Core Schemes",7896.0,"2019-2020","Revised"
2573,"Pradhan Mantri Gram Sadak Yojna","Core Schemes",14070.0,"2019-2020","Revised"
2574,"Pradhan Mantri Awas Yojna (PMAY)","Core Schemes",25328.0,"2019-2020","Revised"
2575,"Jal Jeevan Mission (JJM)","Core Schemes",10001.0,"2019-2020","Revised"
2576,"Swachh Bharat Mission (Urban)","Core Schemes",1300.0,"2019-2020","Revised"
2577,"Swachh Bharat Mission (Gramin)","Core Schemes",8338.0,"2019-2020","Revised"
2578,"National Health Mission","Core Schemes",34290.0,"2019-2020","Revised"
2579,"National Education Mission","Core Schemes",37672.0,"2019-2020","Revised"
2580,"National Programme of Mid Day Meal in Schools","Core Schemes",9912.0,"2019-2020","Revised"
2581,"Umbrella ICDS","Core Schemes",24955.0,"2019-2020","Revised"
2582,"Mission for Protection and Empowerment for Women","Core Schemes",961.0,"2019-2020","Revised"
2583,"National Livelihood Mission - Ajeevika","Core Schemes",9774.0,"2019-2020","Revised"
2584,"Jobs and Skill Development","Core Schemes",5749.0,"2019-2020","Revised"
2585,"Environment, Forestry and Wildlife","Core Schemes",787.0,"2019-2020","Revised"
2586,"Urban Rejuvenation Mission: AMRUT and Smart Cities Mission","Core Schemes",9842.0,"2019-2020","Revised"
2587,"Modernisation of Police Forces","Core Schemes",4155.0,"2019-2020","Revised"
2588,"Infrastructure Facilities for Judiciary","Core Schemes",990.0,"2019-2020","Revised"
2589,"Border Area Development Programme 771","Core Schemes",825.0,"2019-2020","Revised"
2590,"Shyama Prasad Mukherjee Rurban Mission","Core Schemes",300.0,"2019-2020","Revised"
2591,"Rashtriya Gram Swaraj Abhiyan (RGSA)","Core Schemes",465.0,"2019-2020","Revised"
2592,"PMJAY-Ayushman Bharat","Core Schemes",3314.0,"2019-2020","Revised"
2593,"Market Intervention Scheme and Price Support Scheme (MIS-PSS)","Major Central Sector Schemes",2010.0,"2019-2020","Revised"
2594,"Crop Insurance Scheme","Major Central Sector Schemes",13641.0,"2019-2020","Revised"
2595,"Interest Subsidy for Short Term Credit to Farmers","Major Central Sector Schemes",17863.0,"2019-2020","Revised"
2596,"Promotion of Agricultural Mechanization for in-situ Management of Crop Residue","Major Central Sector Schemes",594.0,"2019-2020","Revised"
2597,"Distribution of Pulses to State / Union Territories for Welfare Scheme","Major Central Sector Schemes",370.0,"2019-2020","Revised"
2598,"Pradhan Mantri Kisan Samman Nidhi (PM-Kisan)","Major Central Sector Schemes",54370.0,"2019-2020","Revised"
2599,"Crop Science","Major Central Sector Schemes",635.0,"2019-2020","Revised"
2600,"R and D Basic Science and Engineering","Major Central Sector Schemes",1170.0,"2019-2020","Revised"
2601,"Air India Asset Holding Limited (SPV)","Major Central Sector Schemes",2600.0,"2019-2020","Revised"
2602,"Exploration of Coal and Lignite","Major Central Sector Schemes",755.0,"2019-2020","Revised"
2603,"Investment in ECGC (Export Credit Guarantee Corporation)","Major Central Sector Schemes",800.0,"2019-2020","Revised"
2604,"Interest Equalisation Scheme","Major Central Sector Schemes",2868.0,"2019-2020","Revised"
2605,"National Industrial Corridor Development and Implementation Trust (NICDIT)","Major Central Sector Schemes",950.0,"2019-2020","Revised"
2606,"Fund of Funds","Major Central Sector Schemes",431.0,"2019-2020","Revised"
2607,"Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States","Major Central Sector Schemes",2100.0,"2019-2020","Revised"
2608,"Optical Fibre Cable based network for Defence Services","Major Central Sector Schemes",4725.0,"2019-2020","Revised"
2609,"Compensation to Service Providers for creation and augmentation of telecom infrastructure (Bharat Net)","Major Central Sector Schemes",3000.0,"2019-2020","Revised"
2610,"Price Stabilisation Fund","Major Central Sector Schemes",1820.0,"2019-2020","Revised"
2611,"Schemes of North East Council","Major Central Sector Schemes",385.0,"2019-2020","Revised"
2612,"Central Pool of Resources for North East and Sikkim","Major Central Sector Schemes",576.0,"2019-2020","Revised"
2613,"North East Road Sector Development Scheme","Major Central Sector Schemes",662.0,"2019-2020","Revised"
2614,"North East Special Infrastructure Development Scheme (NESIDS)","Major Central Sector Schemes",558.0,"2019-2020","Revised"
2615,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)","Major Central Sector Schemes",445.0,"2019-2020","Revised"
2616,"Promotion of Electronics and IT HW Manufacturing (MSIPS, EDF and Manufacturing Clusters)","Major Central Sector Schemes",690.0,"2019-2020","Revised"
2617,"R and D in IT/Electronics/CCBT","Major Central Sector Schemes",435.0,"2019-2020","Revised"
2618,"Exim Bank","Major Central Sector Schemes",1153.0,"2019-2020","Revised"
2619,"National Investment and Infrastructure Fund (NIIF)","Major Central Sector Schemes",2003.0,"2019-2020","Revised"
2620,"Subscription to Share Captial of National Bank for Agricultural and Rural Development (NABARD)","Major Central Sector Schemes",1500.0,"2019-2020","Revised"
2621,"Re-capitalization of Insurance Companies","Major Central Sector Schemes",2500.0,"2019-2020","Revised"
2622,"Subscription to the Share Capital of Export-Import Bank of India","Major Central Sector Schemes",950.0,"2019-2020","Revised"
2623,"National Animal Disease Control Programme for Foot and Mouth Disease (FMD) and Brucellosis","Major Central Sector Schemes",811.0,"2019-2020","Revised"
2624,"Pradhan Mantri Kisan Sampada Yojana","Major Central Sector Schemes",889.0,"2019-2020","Revised"
2625,"National AIDS and STD Control Programme","Major Central Sector Schemes",2956.0,"2019-2020","Revised"
2626,"Family Welfare Schemes","Major Central Sector Schemes",514.0,"2019-2020","Revised"
2627,"Pardhan Mantri Swasthya Suraksha Yojana","Major Central Sector Schemes",4733.0,"2019-2020","Revised"
2628,"Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).","Major Central Sector Schemes",500.0,"2019-2020","Revised"
2629,"Schemes for Safety of Women","Major Central Sector Schemes",50.0,"2019-2020","Revised"
2630,"Metro Projects","Major Central Sector Schemes",17612.0,"2019-2020","Revised"
2631,"National Capital Region Transport Corporation","Major Central Sector Schemes",824.0,"2019-2020","Revised"
2632,"Higher Education Financing Agency (HEFA)","Major Central Sector Schemes",2100.0,"2019-2020","Revised"
2633,"Interest Subsidy and contribution for Guarantee Funds","Major Central Sector Schemes",1900.0,"2019-2020","Revised"
2634,"National Ganga Plan and Ghat Works","Major Central Sector Schemes",353.0,"2019-2020","Revised"
2635,"National River Conservation Plan","Major Central Sector Schemes",1200.0,"2019-2020","Revised"
2636,"Employees Pension Scheme, 1995","Major Central Sector Schemes",6076.0,"2019-2020","Revised"
2637,"Prime Minister Employment Generation Programme (PMEGP)","Major Central Sector Schemes",2464.0,"2019-2020","Revised"
2638,"Infrastructure Development and Capacity Building","Major Central Sector Schemes",471.0,"2019-2020","Revised"
2639,"Education Empowerment","Major Central Sector Schemes",2249.0,"2019-2020","Revised"
2640,"Skill Development and Livelihoods","Major Central Sector Schemes",582.0,"2019-2020","Revised"
2641,"Wind Power","Major Central Sector Schemes",1026.0,"2019-2020","Revised"
2642,"Solar Power","Major Central Sector Schemes",1789.0,"2019-2020","Revised"
2643,"Kisan Urja Suraksha evam Utthaan Mahabhiyan(KUSUM)","Major Central Sector Schemes","","2019-2020","Revised"
2644,"Phulpur Dhamra Haldia Pipeline Project","Major Central Sector Schemes",1552.0,"2019-2020","Revised"
2645,"Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve","Major Central Sector Schemes",1.0,"2019-2020","Revised"
2646,"LPG Connection to Poor Households (Saubhagya)","Major Central Sector Schemes",3724.0,"2019-2020","Revised"
2647,"Deen Dayal Upadhyaya Gram Jyoti Yojna","Major Central Sector Schemes",4066.0,"2019-2020","Revised"
2648,"Integrated Power Development Scheme","Major Central Sector Schemes",5663.0,"2019-2020","Revised"
2649,"Strengthening of Power Systems","Major Central Sector Schemes",1860.0,"2019-2020","Revised"
2650,"Power System Development Fund","Major Central Sector Schemes",574.0,"2019-2020","Revised"
2651,"Bridge Works","Major Central Sector Schemes",753.0,"2019-2020","Revised"
2652,"Metropolitan Transportation Projects","Major Central Sector Schemes",1580.0,"2019-2020","Revised"
2653,"Road Works","Major Central Sector Schemes",45887.0,"2019-2020","Revised"
2654,"National Highways Authority of India","Major Central Sector Schemes",36691.0,"2019-2020","Revised"
2655,"Science and Technology Institutional and Human Capacity Building","Major Central Sector Schemes",1076.0,"2019-2020","Revised"
2656,"Research and Development","Major Central Sector Schemes",589.0,"2019-2020","Revised"
2657,"Innovation, Technology Development and Deployment","Major Central Sector Schemes",812.0,"2019-2020","Revised"
2658,"Biotechnology Research and Development","Major Central Sector Schemes",1315.0,"2019-2020","Revised"
2659,"Space Technology","Major Central Sector Schemes",8991.0,"2019-2020","Revised"
2660,"Space Applications","Major Central Sector Schemes",1863.0,"2019-2020","Revised"
2661,"INSAT Satellite Systems","Major Central Sector Schemes",1009.0,"2019-2020","Revised"
2662,"Capacity Development (CD)","Major Central Sector Schemes",529.0,"2019-2020","Revised"
2663,"Member of Parliament Local Area Development Scheme (MPLAD)","Major Central Sector Schemes",3960.0,"2019-2020","Revised"
2664,"Amended Technology Upgradation Fund Scheme(ATUFS)","Major Central Sector Schemes",494.0,"2019-2020","Revised"
2665,"Central Silk Board","Major Central Sector Schemes",765.0,"2019-2020","Revised"
2666,"Integrated Development of Tourist Circuits around specific themes (Swadesh Darshan)","Major Central Sector Schemes",566.0,"2019-2020","Revised"
2667,"Eklavya Model Residential School (EMRS)","Major Central Sector Schemes",16.0,"2019-2020","Revised"
2668,"Khelo India","Major Central Sector Schemes",578.0,"2019-2020","Revised"
2669,"Freedom Fighters (pension and other benefits)","Major Central Sector Schemes",953.0,"2019-2020","Revised"
2670,"Border Infrastructure and Management","Major Central Sector Schemes",2128.0,"2019-2020","Revised"
2671,"Police Infrastructure","Major Central Sector Schemes",4479.0,"2019-2020","Revised"
2672,"Credit Linked Capital Subsidy and Technology Upgradation Scheme","Major Central Sector Schemes",806.0,"2019-2020","Revised"
2673,"Budgetary Support to Schemes of Ministry of Railways","Major Central Sector Schemes",69967.0,"2019-2020","Revised"
2674,"Sagarmala","Major Central Sector Schemes",381.0,"2019-2020","Revised"
2675,"Centenaries and Anniversaries, Celebrations and Schemes","Major Central Sector Schemes",104.0,"2019-2020","Revised"
2676,"Support to Infrastructure Pipeline","Major Central Sector Schemes","","2019-2020","Revised"
2677,"Pradhan Mantri Mudra Yojana","Major Central Sector Schemes",500.0,"2019-2020","Revised"
2678,"Stimulus Package for Export Credit- NIRVIK Yojna","Major Central Sector Schemes","","2019-2020","Revised"
2679,"Umbrella Programme for Development of Other Vulnerable Groups 1564","Core of the Core Schemes",2210.0,"2020-2021","Budget"
2680,"Jal Jeevan Mission (JJM)","Core Schemes",11500.0,"2020-2021","Budget"
2681,"Swachh Bharat Mission (Urban)","Core Schemes",2300.0,"2020-2021","Budget"
2682,"Border Area Development Programme 771","Core Schemes",784.0,"2020-2021","Budget"
2683,"PMJAY-Ayushman Bharat","Core Schemes",6429.0,"2020-2021","Budget"
2684,"Distribution of Pulses to State / Union Territories for Welfare Scheme","Major Central Sector Schemes",800.0,"2020-2021","Budget"
2685,"R and D Basic Science and Engineering","Major Central Sector Schemes",1250.0,"2020-2021","Budget"
2686,"Exploration of Coal and Lignite","Major Central Sector Schemes",700.0,"2020-2021","Budget"
2687,"Investment in ECGC (Export Credit Guarantee Corporation)","Major Central Sector Schemes",650.0,"2020-2021","Budget"
2688,"Compensation to Service Providers for creation and augmentation of telecom infrastructure (Bharat Net)","Major Central Sector Schemes",8000.0,"2020-2021","Budget"
2689,"Schemes of North East Council","Major Central Sector Schemes",606.0,"2020-2021","Budget"
2690,"Ocean services, Modelling, Application, Resources and Technology (O-SMART)","Major Central Sector Schemes",567.0,"2020-2021","Budget"
